,0
Drama,5697
Comedy,4259
Action,2801
Thriller,2720
Romance,2100
Adventure,1830
Crime,1702
Horror,1482
Family,1112
Science Fiction,1107
Fantasy,1037
Mystery,999
Animation,681
History,578
Music,567
Documentary,517
War,429
Western,188
TV Movie,62
